('Landslide Hot Chocolate', 'Hot Beverages', 'Beverages')
('Better Canned String Beans', 'Vegetables', 'Canned Foods')
('PigTail Frozen Pancakes', 'Breakfast Foods', 'Frozen Foods')
('PigTail Lime Popsicles', 'Frozen Desserts', 'Frozen Foods')
('Imagine Frozen Carrots', 'Vegetables', 'Frozen Foods')
('Super Tomato Sauce', 'Baking Goods', 'Baking Goods')
('Shady Lake Manicotti', 'Starchy Foods', 'Starchy Foods')
('Club Large Curd Cottage Cheese', 'Dairy', 'Dairy')
('Carrington Grape Popsicles', 'Frozen Desserts', 'Frozen Foods')
('Super Oregano', 'Baking Goods', 'Baking Goods')
('Gorilla Jack Cheese', 'Dairy', 'Dairy')
('Ebony Macintosh Apples', 'Fruit', 'Produce')
('Modell Cranberry Muffins', 'Bread', 'Baked Goods')
('Golden Lemon Popsicles', 'Frozen Desserts', 'Frozen Foods')
('Golden Frozen Pancakes', 'Breakfast Foods', 'Frozen Foods')
('Fort West Chocolate Donuts', 'Snack Foods', 'Snack Foods')
('Cormorant Toilet Bowl Cleaner', 'Cleaning Supplies', 'Household')
('Gorilla Head Cheese', 'Dairy', 'Dairy')
('Hilltop Deodorant', 'Hygiene', 'Health and Hygiene')
('Horatio Corn Chips', 'Snack Foods', 'Snack Foods')
('Club 2\\% Milk', 'Dairy', 'Dairy Drink')
('National Egg Substitute', 'Eggs', 'Eggs')
('Club Havarti Cheese', 'Dairy', 'Dairy')
('Imagine Turkey TV Dinner', 'Frozen Entrees', 'Frozen Foods')
('Ebony Firm Tofu', 'Packaged Vegetables', 'Produce')
('Red Wing Room Freshener', 'Cleaning Supplies', 'Household')
('Fast Corn Chips', 'Snack Foods', 'Snack Foods')
('High Quality Glass Cleaner', 'Cleaning Supplies', 'Household')
('Tip Top Scallops', 'Seafood', 'Seafood')
('Hermanos Tomatos', 'Vegetables', 'Produce')
('Ebony Walnuts', 'Specialty', 'Produce')
('Just Right Canned Peas', 'Vegetables', 'Canned Foods')
('Excel Monthly Sports Magazine', 'Magazines', 'Periodicals')
('Hermanos Walnuts', 'Specialty', 'Produce')
('Great Pumpernickel Bread', 'Bread', 'Baked Goods')
('Booker Low Fat String Cheese', 'Dairy', 'Dairy')
('Plato Apple Butter', 'Jams and Jellies', 'Baking Goods')
('Big Time Orange Popsicles', 'Frozen Desserts', 'Frozen Foods')
('Nationeel Raisins', 'Snack Foods', 'Snack Foods')
('Atomic White Chocolate Bar', 'Candy', 'Snacks')
('Excellent Cream Soda', 'Carbonated Beverages', 'Beverages')
('Pleasant Fancy Canned Oysters', 'Canned Oysters', 'Canned Foods')
('Blue Label Fancy Canned Sardines', 'Canned Sardines', 'Canned Foods')
('High Quality C-Size Batteries', 'Electrical', 'Household')
('Tell Tale Golden Delcious Apples', 'Fruit', 'Produce')
('Pleasant Turkey Noodle Soup', 'Canned Soup', 'Canned Foods')
('Red Wing Copper Pot Scrubber', 'Kitchen Products', 'Household')
('Gorilla Sour Cream', 'Dairy', 'Dairy')
('Tell Tale Elephant Garlic', 'Vegetables', 'Produce')
('Denny Soft Napkins', 'Paper Products', 'Household')
('Big Time Waffles', 'Breakfast Foods', 'Frozen Foods')
('Dollar Monthly Home Magazine', 'Magazines', 'Periodicals')
('Super Grape Jam', 'Jams and Jellies', 'Baking Goods')
('Ebony Fresh Lima Beans', 'Vegetables', 'Produce')
('High Quality Paper Cups', 'Paper Products', 'Household')
('Ebony Corn on the Cob', 'Vegetables', 'Produce')
('Nationeel Dried Dates', 'Snack Foods', 'Snack Foods')
('Sunset Soft Napkins', 'Paper Products', 'Household')
('Ebony Prepared Salad', 'Vegetables', 'Produce')
